startThreads creating 1 threads.
starting thread 0
started thread 0
argc=2
argv[0] = --unused
argv[1] = --start_demo_name=Physics Server
ExampleBrowserThreadFunc started
X11 functions dynamically loaded using dlopen/dlsym OK!
X11 functions dynamically loaded using dlopen/dlsym OK!
Creating context
Created GL 3.3 context
Direct GLX rendering context obtained
Making context current
GL_VENDOR=NVIDIA Corporation
GL_RENDERER=NVIDIA GeForce RTX 4060/PCIe/SSE2
GL_VERSION=3.3.0 NVIDIA 535.183.01
GL_SHADING_LANGUAGE_VERSION=3.30 NVIDIA via Cg compiler
pthread_getconcurrency()=0
Version = 3.3.0 NVIDIA 535.183.01
Vendor = NVIDIA Corporation
Renderer = NVIDIA GeForce RTX 4060/PCIe/SSE2
b3Printf: Selected demo: Physics Server
startThreads creating 1 threads.
starting thread 0
started thread 0
MotionThreadFunc thread started
ven = NVIDIA Corporation
ven = NVIDIA Corporation
/home/balage/anaconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:129: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ppo_cartpole_tensorboard/PPO_4
distance_to_goal: 1.5701775401380553, terminated: False, truncated: False
distance_to_goal: 1.5703516188449016, terminated: False, truncated: False
distance_to_goal: 1.5699402755383876, terminated: False, truncated: False
distance_to_goal: 1.5695832006661194, terminated: False, truncated: False
distance_to_goal: 1.569250425830653, terminated: False, truncated: False
distance_to_goal: 1.5687652751557006, terminated: False, truncated: False
distance_to_goal: 1.568423617451792, terminated: False, truncated: False
distance_to_goal: 1.5690632302762755, terminated: False, truncated: False
distance_to_goal: 1.56953044510689, terminated: False, truncated: False
distance_to_goal: 1.5690260547876804, terminated: False, truncated: False
distance_to_goal: 1.5672047017648472, terminated: False, truncated: False
distance_to_goal: 1.564410371995717, terminated: False, truncated: False
distance_to_goal: 1.5622279784872235, terminated: False, truncated: False
distance_to_goal: 1.5571931235677565, terminated: False, truncated: False
distance_to_goal: 1.5528992588682022, terminated: False, truncated: False
distance_to_goal: 1.5489768286679362, terminated: False, truncated: False
distance_to_goal: 1.5463067384952747, terminated: False, truncated: False
distance_to_goal: 1.5440778054952762, terminated: False, truncated: False
distance_to_goal: 1.5413665874376812, terminated: False, truncated: False
distance_to_goal: 1.5394283510228668, terminated: False, truncated: False
distance_to_goal: 1.5387331644859459, terminated: False, truncated: False
distance_to_goal: 1.5380928911216536, terminated: False, truncated: False
distance_to_goal: 1.537737254629267, terminated: False, truncated: False
distance_to_goal: 1.5378027324787633, terminated: False, truncated: False
distance_to_goal: 1.5385227051411425, terminated: False, truncated: False
