startThreads creating 1 threads.
starting thread 0
started thread 0
argc=2
argv[0] = --unused
argv[1] = --start_demo_name=Physics Server
ExampleBrowserThreadFunc started
X11 functions dynamically loaded using dlopen/dlsym OK!
X11 functions dynamically loaded using dlopen/dlsym OK!
Creating context
Created GL 3.3 context
Direct GLX rendering context obtained
Making context current
GL_VENDOR=NVIDIA Corporation
GL_RENDERER=NVIDIA GeForce RTX 4060/PCIe/SSE2
GL_VERSION=3.3.0 NVIDIA 535.183.01
GL_SHADING_LANGUAGE_VERSION=3.30 NVIDIA via Cg compiler
pthread_getconcurrency()=0
Version = 3.3.0 NVIDIA 535.183.01
Vendor = NVIDIA Corporation
Renderer = NVIDIA GeForce RTX 4060/PCIe/SSE2
b3Printf: Selected demo: Physics Server
startThreads creating 1 threads.
starting thread 0
started thread 0
MotionThreadFunc thread started
ven = NVIDIA Corporation
ven = NVIDIA Corporation
/home/balage/anaconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:129: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ppo_cartpole_tensorboard/PPO_4
distance_to_goal: 1.2676121318829487, terminated: True, truncated: False
distance_to_goal: 1.2812804988682396, terminated: True, truncated: False
distance_to_goal: 1.281327638125819, terminated: True, truncated: False
distance_to_goal: 0.8869496674601777, terminated: True, truncated: False
distance_to_goal: 0.8869496674601777, terminated: True, truncated: False
distance_to_goal: 0.16673484553297432, terminated: True, truncated: False
distance_to_goal: 1.268272567993955, terminated: True, truncated: False
distance_to_goal: 1.569539589926783, terminated: False, truncated: False
distance_to_goal: 1.5694343752467033, terminated: False, truncated: False
distance_to_goal: 1.5693973191360324, terminated: False, truncated: False
distance_to_goal: 1.5696431346996873, terminated: False, truncated: False
distance_to_goal: 1.5692620303173495, terminated: False, truncated: False
distance_to_goal: 1.5682431311727705, terminated: False, truncated: False
distance_to_goal: 1.5673123841634633, terminated: False, truncated: False
distance_to_goal: 1.5667284212397488, terminated: False, truncated: False
distance_to_goal: 1.566136431554684, terminated: False, truncated: False
distance_to_goal: 1.5656274818054348, terminated: False, truncated: False
distance_to_goal: 1.563971766696038, terminated: False, truncated: False
distance_to_goal: 1.5620920663158493, terminated: False, truncated: False
distance_to_goal: 1.5603587537889159, terminated: False, truncated: False
distance_to_goal: 1.556077169408512, terminated: False, truncated: False
distance_to_goal: 1.5531303184615575, terminated: False, truncated: False
distance_to_goal: 1.5509793656953124, terminated: False, truncated: False
distance_to_goal: 1.5499703195640502, terminated: False, truncated: False
distance_to_goal: 1.5490496389714974, terminated: False, truncated: False
distance_to_goal: 1.5472756809266395, terminated: False, truncated: False
distance_to_goal: 1.5460886458503247, terminated: False, truncated: False
distance_to_goal: 1.5437645955518935, terminated: False, truncated: False
distance_to_goal: 1.542096169614656, terminated: False, truncated: False
distance_to_goal: 1.5412384740642397, terminated: False, truncated: False
distance_to_goal: 1.5406500220972084, terminated: False, truncated: False
distance_to_goal: 1.5401196316535817, terminated: False, truncated: False
distance_to_goal: 1.540066000780094, terminated: False, truncated: False
distance_to_goal: 1.5389381837200231, terminated: False, truncated: False
distance_to_goal: 1.5391060560511525, terminated: False, truncated: False
distance_to_goal: 1.5391662304342477, terminated: False, truncated: False
distance_to_goal: 1.5391768268190065, terminated: False, truncated: False
distance_to_goal: 1.5386417172047677, terminated: False, truncated: False
distance_to_goal: 1.5373263027879391, terminated: False, truncated: False
distance_to_goal: 1.5373680279667452, terminated: False, truncated: False
distance_to_goal: 1.5381115293190148, terminated: False, truncated: False
distance_to_goal: 1.5385319147669483, terminated: False, truncated: False
distance_to_goal: 1.5388978583030724, terminated: False, truncated: False
distance_to_goal: 1.5380699670940945, terminated: False, truncated: False
distance_to_goal: 1.5371927645198649, terminated: False, truncated: False
distance_to_goal: 1.5358853173047504, terminated: False, truncated: False
distance_to_goal: 1.5343978852065174, terminated: False, truncated: False
distance_to_goal: 1.5339117683930559, terminated: False, truncated: False
distance_to_goal: 1.5331535375325147, terminated: False, truncated: False
distance_to_goal: 1.5333349044546902, terminated: False, truncated: False
distance_to_goal: 1.53374874558014, terminated: False, truncated: False
distance_to_goal: 1.5338064573612769, terminated: False, truncated: False
distance_to_goal: 1.5339063990853796, terminated: False, truncated: False
distance_to_goal: 1.5328760224697138, terminated: False, truncated: False
distance_to_goal: 1.531937271342942, terminated: False, truncated: False
distance_to_goal: 1.5304720926297724, terminated: False, truncated: False
distance_to_goal: 1.5296947026489927, terminated: False, truncated: False
distance_to_goal: 1.5284371767951315, terminated: False, truncated: False
distance_to_goal: 1.528418390377488, terminated: False, truncated: False
distance_to_goal: 1.5278603996065259, terminated: False, truncated: False
distance_to_goal: 1.5279958741013902, terminated: False, truncated: False
distance_to_goal: 1.528706344788458, terminated: False, truncated: False
distance_to_goal: 1.52900387610933, terminated: False, truncated: False
distance_to_goal: 1.5294166243661242, terminated: False, truncated: False
distance_to_goal: 1.5300758850708536, terminated: False, truncated: False
distance_to_goal: 1.5303758404044523, terminated: False, truncated: False
distance_to_goal: 1.530846819025228, terminated: False, truncated: False
distance_to_goal: 1.530366345835349, terminated: False, truncated: False
distance_to_goal: 1.5299845604323352, terminated: False, truncated: False
distance_to_goal: 1.529720238772573, terminated: False, truncated: False
distance_to_goal: 1.530810152577787, terminated: False, truncated: False
distance_to_goal: 1.5329544696566035, terminated: False, truncated: False
distance_to_goal: 1.534209426707593, terminated: False, truncated: False
distance_to_goal: 1.5353580514034753, terminated: False, truncated: False
distance_to_goal: 1.5368614979695339, terminated: False, truncated: False
distance_to_goal: 1.5385897098887467, terminated: False, truncated: False
distance_to_goal: 1.5393001365167553, terminated: False, truncated: False
distance_to_goal: 1.5397160134476944, terminated: False, truncated: False
distance_to_goal: 1.5394270998072432, terminated: False, truncated: False
distance_to_goal: 1.5384717269978152, terminated: False, truncated: False
distance_to_goal: 1.538146584622272, terminated: False, truncated: False
distance_to_goal: 1.538208684191207, terminated: False, truncated: False
distance_to_goal: 1.537857953143519, terminated: False, truncated: False
distance_to_goal: 1.5373528251202448, terminated: False, truncated: False
distance_to_goal: 1.5368917539413645, terminated: False, truncated: False
distance_to_goal: 1.5362167082233604, terminated: False, truncated: False
distance_to_goal: 1.5349393454183622, terminated: False, truncated: False
distance_to_goal: 1.5332812856887026, terminated: False, truncated: False
distance_to_goal: 1.5328077733874108, terminated: False, truncated: False
distance_to_goal: 1.5331615359632103, terminated: False, truncated: False
distance_to_goal: 1.5336264684630445, terminated: False, truncated: False
distance_to_goal: 1.5329554057481003, terminated: False, truncated: False
distance_to_goal: 1.5319727088736872, terminated: False, truncated: False
distance_to_goal: 1.531270748412188, terminated: False, truncated: False
distance_to_goal: 1.5307887296047666, terminated: False, truncated: False
distance_to_goal: 1.5314921777089747, terminated: False, truncated: False
distance_to_goal: 1.532305548214962, terminated: False, truncated: False
distance_to_goal: 1.5318302437161044, terminated: False, truncated: False
distance_to_goal: 1.531894842642725, terminated: False, truncated: False
distance_to_goal: 1.5313598025317314, terminated: False, truncated: False
distance_to_goal: 1.5309365017349623, terminated: False, truncated: False
distance_to_goal: 1.5306237449207667, terminated: False, truncated: False
distance_to_goal: 1.530238041369814, terminated: False, truncated: False
distance_to_goal: 1.5303863597097396, terminated: False, truncated: False
distance_to_goal: 1.529458032717775, terminated: False, truncated: False
distance_to_goal: 1.5284632587389195, terminated: False, truncated: False
distance_to_goal: 1.5275772834736152, terminated: False, truncated: False
distance_to_goal: 1.5272834834929756, terminated: False, truncated: False
distance_to_goal: 1.5278702027195323, terminated: False, truncated: False
distance_to_goal: 1.5294678680525366, terminated: False, truncated: False
distance_to_goal: 1.5296585977362336, terminated: False, truncated: False
distance_to_goal: 1.5294779852776317, terminated: False, truncated: False
distance_to_goal: 1.5301236322956908, terminated: False, truncated: False
distance_to_goal: 1.5314725865637704, terminated: False, truncated: False
distance_to_goal: 1.5320150438340236, terminated: False, truncated: False
distance_to_goal: 1.5326097145817859, terminated: False, truncated: False
