/home/balage/anaconda3/lib/python3.12/site-packages/torch/cuda/__init__.py:129: UserWarning: CUDA initialization: CUDA unknown error - this may be due to an incorrectly set up environment, e.g. changing env variable CUDA_VISIBLE_DEVICES after program start. Setting the available devices to be zero. (Triggered internally at ../c10/cuda/CUDAFunctions.cpp:108.)
  return torch._C._cuda_getDeviceCount() > 0
Using cpu device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to ./ppo_cartpole_tensorboard/PPO_4
distance_to_goal: 0.9395103583474664, terminated: True, truncated: False
distance_to_goal: 1.5683878719934186, terminated: False, truncated: False
distance_to_goal: 1.567218252073711, terminated: False, truncated: False
distance_to_goal: 1.5666921136749705, terminated: False, truncated: False
distance_to_goal: 1.5662992566293452, terminated: False, truncated: False
distance_to_goal: 1.5660696288729878, terminated: False, truncated: False
distance_to_goal: 1.5648093438098263, terminated: False, truncated: False
distance_to_goal: 1.5642238263001798, terminated: False, truncated: False
distance_to_goal: 1.5637193508373928, terminated: False, truncated: False
distance_to_goal: 1.5642460032762247, terminated: False, truncated: False
distance_to_goal: 1.5648263214066434, terminated: False, truncated: False
distance_to_goal: 1.5648212941197976, terminated: False, truncated: False
distance_to_goal: 1.5642316576495154, terminated: False, truncated: False
distance_to_goal: 1.5642274810480705, terminated: False, truncated: False
distance_to_goal: 1.564809561109365, terminated: False, truncated: False
distance_to_goal: 1.56480681316188, terminated: False, truncated: False
distance_to_goal: 1.5648606697021645, terminated: False, truncated: False
distance_to_goal: 1.564413689313446, terminated: False, truncated: False
distance_to_goal: 1.5634090112994898, terminated: False, truncated: False
distance_to_goal: 1.561909307606633, terminated: False, truncated: False
distance_to_goal: 1.5576479776519512, terminated: False, truncated: False
distance_to_goal: 1.5541300613917621, terminated: False, truncated: False
distance_to_goal: 1.5512295135488927, terminated: False, truncated: False
distance_to_goal: 1.5489904957673577, terminated: False, truncated: False
distance_to_goal: 1.5467693629696515, terminated: False, truncated: False
distance_to_goal: 1.5447593662541665, terminated: False, truncated: False
distance_to_goal: 1.5423777917494395, terminated: False, truncated: False
distance_to_goal: 1.5398819108418655, terminated: False, truncated: False
distance_to_goal: 1.5379703152990083, terminated: False, truncated: False
distance_to_goal: 1.5365267342918165, terminated: False, truncated: False
distance_to_goal: 1.5353896413834254, terminated: False, truncated: False
distance_to_goal: 1.5334171663552532, terminated: False, truncated: False
distance_to_goal: 1.5303649878045102, terminated: False, truncated: False
distance_to_goal: 1.528023315987863, terminated: False, truncated: False
distance_to_goal: 1.5269760792381089, terminated: False, truncated: False
distance_to_goal: 1.5252704927041627, terminated: False, truncated: False
distance_to_goal: 1.5237916780222542, terminated: False, truncated: False
