2025-01-17 17:34:46,231 INFO    MainThread:46729 [wandb_setup.py:_flush():68] Current SDK version is 0.19.2
2025-01-17 17:34:46,232 INFO    MainThread:46729 [wandb_setup.py:_flush():68] Configure stats pid to 46729
2025-01-17 17:34:46,232 INFO    MainThread:46729 [wandb_setup.py:_flush():68] Loading settings from /home/balage/.config/wandb/settings
2025-01-17 17:34:46,232 INFO    MainThread:46729 [wandb_setup.py:_flush():68] Loading settings from /home/balage/School/2024-25b-fai2-adsai-BalazsCsutar222855/rl_PUB/Task_9/wandb/settings
2025-01-17 17:34:46,232 INFO    MainThread:46729 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-01-17 17:34:46,232 INFO    MainThread:46729 [wandb_init.py:_log_setup():523] Logging user logs to /home/balage/School/2024-25b-fai2-adsai-BalazsCsutar222855/rl_PUB/Task_9/wandb/run-20250117_173446-3morsyfr/logs/debug.log
2025-01-17 17:34:46,232 INFO    MainThread:46729 [wandb_init.py:_log_setup():524] Logging internal logs to /home/balage/School/2024-25b-fai2-adsai-BalazsCsutar222855/rl_PUB/Task_9/wandb/run-20250117_173446-3morsyfr/logs/debug-internal.log
2025-01-17 17:34:46,232 INFO    MainThread:46729 [wandb_init.py:init():641] calling init triggers
2025-01-17 17:34:46,232 INFO    MainThread:46729 [wandb_init.py:init():647] wandb.init called with sweep_config: {}
config: {}
2025-01-17 17:34:46,232 INFO    MainThread:46729 [wandb_init.py:init():674] starting backend
2025-01-17 17:34:46,438 INFO    MainThread:46729 [wandb_init.py:init():678] sending inform_init request
2025-01-17 17:34:46,441 INFO    MainThread:46729 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-01-17 17:34:46,441 INFO    MainThread:46729 [wandb_init.py:init():693] backend started and connected
2025-01-17 17:34:46,443 INFO    MainThread:46729 [wandb_init.py:init():786] updated telemetry
2025-01-17 17:34:46,446 INFO    MainThread:46729 [wandb_init.py:init():818] communicating run to backend with 90.0 second timeout
2025-01-17 17:34:46,795 INFO    MainThread:46729 [wandb_init.py:init():868] starting run threads in backend
2025-01-17 17:34:47,010 INFO    MainThread:46729 [wandb_run.py:_console_start():2415] atexit reg
2025-01-17 17:34:47,011 INFO    MainThread:46729 [wandb_run.py:_redirect():2265] redirect: wrap_raw
2025-01-17 17:34:47,011 INFO    MainThread:46729 [wandb_run.py:_redirect():2330] Wrapping output streams.
2025-01-17 17:34:47,011 INFO    MainThread:46729 [wandb_run.py:_redirect():2355] Redirects installed.
2025-01-17 17:34:47,013 INFO    MainThread:46729 [wandb_init.py:init():910] run started, returning control to user process
